id,price,vehicleType,yearOfRegistration,gearbox,powerPS,kilometer,notRepairedDamage
65713,2198,kleinwagen,2006,manuell,54,125000,nein
164013,6654,kombi,2007,automatik,140,150000,nein
82676,4252,kleinwagen,2008,manuell,69,150000,nein
178414,5774,kleinwagen,2006,manuell,80,20000,nein
145094,8981,limousine,2007,manuell,177,125000,nein
83302,2960,kleinwagen,2008,manuell,67,100000,nein
5782,4911,limousine,2006,manuell,140,150000,nein
55118,6804,bus,2008,manuell,136,150000,nein
160860,5954,kombi,2006,manuell,170,150000,ja
149995,7501,kombi,2008,manuell,120,100000,nein
192108,5887,cabrio,2006,manuell,111,100000,nein
181104,4017,limousine,2006,manuell,105,150000,nein
80557,8998,kombi,2008,manuell,120,70000,nein
43076,4340,limousine,2007,manuell,80,150000,nein
80289,2010,bus,2008,manuell,90,150000,nein
1905,6921,bus,2006,manuell,129,150000,nein
51757,7255,limousine,2007,manuell,200,150000,nein
95022,5841,bus,2007,manuell,100,150000,ja
67523,4197,limousine,2006,manuell,170,150000,nein
35383,957,kleinwagen,2006,manuell,60,125000,nein
185682,4984,kombi,2008,manuell,73,40000,nein
94963,4795,limousine,2007,manuell,69,100000,nein
49895,6032,limousine,2008,manuell,101,125000,nein
73307,6714,limousine,2006,manuell,140,125000,nein
7991,9907,limousine,2007,manuell,143,150000,nein
126312,5921,kleinwagen,2006,automatik,75,40000,nein
157322,5485,limousine,2007,manuell,140,150000,nein
12158,3890,bus,2006,manuell,84,150000,nein
69878,8916,kombi,2007,automatik,232,150000,nein
30063,4656,bus,2006,manuell,120,150000,nein
164931,8870,kombi,2008,manuell,140,150000,nein
138626,7019,kombi,2008,manuell,150,125000,nein
98455,8558,limousine,2008,manuell,143,100000,nein
30529,9105,bus,2006,manuell,150,150000,nein
43009,5489,kleinwagen,2008,manuell,86,125000,nein
167104,9664,kombi,2006,automatik,231,150000,nein
181808,7765,kleinwagen,2007,manuell,174,150000,nein
193950,9436,limousine,2006,automatik,170,100000,nein
114389,5895,limousine,2007,manuell,102,100000,nein
27336,7903,cabrio,2006,manuell,116,80000,nein
69973,5714,limousine,2006,manuell,75,50000,nein
164927,6646,kombi,2008,manuell,109,90000,nein
96033,3537,kleinwagen,2008,manuell,54,80000,nein
124291,3985,kombi,2008,manuell,105,150000,nein
36752,3682,kombi,2006,automatik,170,150000,ja
35235,5163,limousine,2006,manuell,0,150000,nein
164353,5479,bus,2007,manuell,109,125000,nein
55465,2473,kleinwagen,2008,manuell,67,80000,ja
172611,9914,limousine,2008,automatik,0,150000,nein
95745,5516,limousine,2006,manuell,74,90000,nein
83325,1988,kombi,2006,manuell,75,150000,nein
60757,4425,kombi,2006,manuell,136,150000,nein
768,5801,limousine,2007,automatik,100,150000,nein
159206,3700,kleinwagen,2006,manuell,60,125000,nein
107927,4717,kombi,2006,manuell,140,150000,nein
170742,2907,kleinwagen,2006,manuell,101,150000,nein
34043,5742,limousine,2006,manuell,129,150000,nein
139146,5069,kombi,2006,manuell,140,150000,nein
135516,4199,kombi,2006,manuell,75,125000,ja
126656,8180,kombi,2007,automatik,170,150000,nein
128190,2979,kleinwagen,2006,manuell,88,125000,nein
46067,6433,kombi,2006,manuell,179,150000,nein
50180,3281,kleinwagen,2006,manuell,92,150000,nein
165722,5689,limousine,2006,manuell,163,150000,nein
116970,4017,kombi,2007,manuell,110,150000,nein
131395,2987,kleinwagen,2006,manuell,101,150000,nein
76731,5019,cabrio,2008,manuell,140,150000,nein
40281,5303,limousine,2008,manuell,122,100000,nein
127867,4597,kleinwagen,2008,manuell,60,70000,nein
137128,1282,kleinwagen,2006,manuell,80,150000,ja
