"age","job","marital","education","default","housing","loan","campaign","poutcome","y"
30,"blue-collar","married","basic.9y","no","yes","no",2,"nonexistent","no"
39,"services","single","high.school","no","no","no",4,"nonexistent","no"
25,"services","married","high.school","no","yes","no",1,"nonexistent","no"
38,"services","married","basic.9y","no","unknown","unknown",3,"nonexistent","no"
47,"admin.","married","university.degree","no","yes","no",1,"nonexistent","no"
32,"services","single","university.degree","no","no","no",3,"failure","no"
32,"admin.","single","university.degree","no","yes","no",4,"nonexistent","no"
41,"entrepreneur","married","university.degree","unknown","yes","no",2,"nonexistent","no"
31,"services","divorced","professional.course","no","no","no",1,"failure","no"
35,"blue-collar","married","basic.9y","unknown","no","no",1,"nonexistent","no"
25,"services","single","basic.6y","unknown","yes","no",1,"nonexistent","no"
36,"self-employed","single","basic.4y","no","no","no",1,"nonexistent","no"
36,"admin.","married","high.school","no","no","no",2,"nonexistent","no"
47,"blue-collar","married","basic.4y","no","yes","no",2,"nonexistent","no"
29,"admin.","single","high.school","no","no","no",2,"nonexistent","no"
27,"services","single","university.degree","no","no","no",2,"nonexistent","no"
44,"admin.","divorced","university.degree","no","no","no",6,"nonexistent","no"
46,"admin.","divorced","university.degree","no","yes","no",4,"nonexistent","no"
45,"entrepreneur","married","university.degree","unknown","yes","yes",2,"nonexistent","no"
50,"blue-collar","married","basic.4y","no","no","yes",1,"nonexistent","yes"
55,"services","married","basic.6y","unknown","yes","no",6,"nonexistent","no"
39,"technician","divorced","high.school","no","no","no",1,"success","yes"
29,"technician","single","university.degree","no","yes","yes",3,"nonexistent","no"
40,"management","married","high.school","no","no","yes",1,"nonexistent","no"
44,"technician","married","professional.course","unknown","yes","no",7,"nonexistent","no"
38,"technician","married","professional.course","no","yes","no",1,"nonexistent","yes"
36,"technician","divorced","professional.course","no","no","no",1,"nonexistent","no"
28,"blue-collar","married","basic.6y","unknown","no","no",2,"failure","no"
47,"admin.","single","unknown","unknown","no","no",1,"nonexistent","no"
34,"admin.","married","university.degree","no","no","no",1,"nonexistent","no"
38,"technician","married","university.degree","no","yes","yes",1,"failure","no"
33,"services","married","high.school","unknown","yes","no",3,"nonexistent","no"
51,"technician","single","university.degree","no","no","no",2,"nonexistent","no"
30,"blue-collar","single","basic.4y","unknown","yes","no",1,"nonexistent","no"
48,"technician","married","university.degree","no","no","no",7,"nonexistent","no"
28,"blue-collar","single","basic.9y","no","yes","no",1,"nonexistent","no"
36,"blue-collar","married","basic.6y","no","yes","no",1,"nonexistent","no"
46,"management","divorced","high.school","no","no","no",1,"nonexistent","no"
31,"technician","single","unknown","no","yes","no",1,"failure","no"
20,"student","single","unknown","no","no","no",3,"failure","no"
35,"services","married","high.school","unknown","yes","no",1,"nonexistent","no"
38,"blue-collar","married","basic.9y","unknown","unknown","unknown",1,"nonexistent","no"
76,"retired","married","university.degree","no","no","no",1,"failure","no"
45,"entrepreneur","divorced","professional.course","no","yes","no",3,"nonexistent","no"
32,"housemaid","married","basic.4y","no","yes","yes",1,"nonexistent","no"
39,"management","single","university.degree","unknown","no","no",2,"nonexistent","no"
32,"admin.","married","university.degree","no","no","no",1,"nonexistent","no"
29,"admin.","single","basic.9y","no","no","no",2,"nonexistent","no"
44,"services","married","professional.course","no","no","no",2,"nonexistent","no"
32,"services","married","high.school","no","no","yes",3,"nonexistent","no"
56,"retired","married","university.degree","no","yes","no",1,"failure","no"
33,"blue-collar","married","basic.9y","no","yes","no",1,"nonexistent","no"
39,"management","married","high.school","no","no","no",3,"nonexistent","no"
24,"technician","married","university.degree","no","yes","yes",2,"success","yes"
33,"admin.","single","university.degree","no","yes","no",1,"nonexistent","no"
58,"entrepreneur","divorced","university.degree","no","no","no",2,"nonexistent","no"
29,"admin.","single","university.degree","no","yes","no",27,"nonexistent","no"
31,"admin.","married","university.degree","no","yes","no",1,"nonexistent","no"
27,"admin.","married","university.degree","no","no","no",5,"nonexistent","no"
60,"admin.","divorced","professional.course","no","yes","no",1,"failure","yes"
55,"entrepreneur","married","professional.course","no","yes","yes",1,"failure","no"
37,"blue-collar","married","basic.9y","no","yes","no",2,"nonexistent","no"
52,"admin.","married","unknown","no","yes","no",1,"success","yes"
46,"services","married","high.school","no","yes","no",1,"nonexistent","no"
42,"blue-collar","divorced","basic.6y","no","yes","no",2,"nonexistent","no"
35,"admin.","single","university.degree","no","yes","no",3,"nonexistent","no"
49,"technician","divorced","unknown","no","yes","yes",1,"nonexistent","no"
29,"services","divorced","high.school","no","no","yes",3,"nonexistent","no"
32,"blue-collar","married","basic.9y","no","no","no",2,"success","yes"
37,"self-employed","married","university.degree","no","no","no",1,"failure","no"
39,"technician","single","professional.course","unknown","no","no",4,"nonexistent","yes"
51,"services","married","high.school","unknown","yes","no",3,"nonexistent","yes"
28,"admin.","single","high.school","no","yes","no",3,"nonexistent","no"
34,"management","married","university.degree","no","yes","no",4,"nonexistent","no"
31,"technician","single","high.school","no","yes","yes",1,"nonexistent","yes"
31,"admin.","married","university.degree","no","yes","no",5,"nonexistent","no"
31,"admin.","single","university.degree","no","yes","no",2,"nonexistent","no"
38,"self-employed","single","university.degree","no","no","no",2,"nonexistent","no"
33,"unemployed","married","basic.9y","no","no","no",6,"nonexistent","no"
32,"technician","single","university.degree","no","no","no",12,"nonexistent","no"
54,"technician","married","professional.course","unknown","yes","no",1,"nonexistent","no"
41,"admin.","divorced","high.school","no","yes","no",2,"nonexistent","no"
59,"services","married","basic.4y","unknown","no","no",7,"nonexistent","no"
57,"retired","married","university.degree","no","yes","no",1,"success","no"
38,"entrepreneur","divorced","university.degree","no","yes","no",1,"nonexistent","no"
46,"admin.","married","university.degree","no","yes","no",1,"nonexistent","no"
37,"unemployed","single","university.degree","no","yes","yes",1,"nonexistent","no"
47,"services","single","basic.9y","no","unknown","unknown",3,"nonexistent","yes"
45,"admin.","single","university.degree","no","no","no",1,"nonexistent","yes"
36,"blue-collar","married","basic.6y","no","yes","no",1,"nonexistent","no"
40,"unemployed","single","high.school","no","yes","no",5,"nonexistent","no"
38,"blue-collar","married","basic.9y","no","no","no",2,"failure","no"
44,"blue-collar","married","high.school","unknown","no","no",2,"nonexistent","no"
25,"self-employed","married","university.degree","no","yes","no",2,"nonexistent","no"
30,"blue-collar","single","basic.6y","no","yes","no",5,"nonexistent","no"
43,"management","married","professional.course","no","no","no",2,"nonexistent","no"
58,"retired","married","basic.6y","unknown","no","no",3,"nonexistent","no"
31,"technician","married","professional.course","no","yes","no",6,"nonexistent","no"
53,"management","married","university.degree","no","no","no",2,"nonexistent","no"
52,"admin.","married","unknown","no","no","no",1,"nonexistent","no"
37,"management","married","university.degree","unknown","no","yes",1,"failure","no"
58,"admin.","married","high.school","unknown","yes","no",1,"nonexistent","no"
37,"services","married","high.school","no","yes","yes",3,"nonexistent","no"
38,"admin.","single","unknown","no","yes","no",1,"nonexistent","no"
33,"services","single","basic.9y","no","yes","no",2,"nonexistent","no"
45,"services","married","high.school","unknown","yes","no",1,"nonexistent","no"
44,"entrepreneur","married","professional.course","no","no","no",1,"nonexistent","no"
38,"blue-collar","married","basic.6y","no","yes","no",2,"nonexistent","no"
34,"blue-collar","married","basic.9y","no","no","no",1,"nonexistent","no"
